id,conn_id,conn_type,description,host,schema,login,password,port,is_encrypted,is_extra_encrypted,extra
1,airflow_db,mysql,,mysql,airflow,root,,,f,f,
2,aws_default,aws,,,,,,,f,f,
3,azure_batch_default,azure_batch,,,,<ACCOUNT_NAME>,,,f,t,gAAAAABowcahkzB8T7_zHKynqSwqKtSFmwFfCh2-vca6OgcCwRLpB3YkD_2R_M-XletrKhAgDlh3bVn2sBswdrBb_AqNfMaIHBIbc2845ettZfzlOdZHotnd_sc-e3GLL_aUmSXz1VAo
4,azure_cosmos_default,azure_cosmos,,,,,,,f,t,gAAAAABowcahF8qVmahXe4GzK61PI7Cw4zuYM2XZrr-to7vxbOPaWTEcCNmbvpk8NrHmRRSIh-UAoDn86gHHTBmDAAlrnN7SBYpM1K_CTKXx56QVvO5QCe4JqkBcSTfXkSVhvR0ZH1UjzQJD-1xrEfgQvrAkA0f07Fy42f7U5s-DYOiwv7Z78eA=
5,azure_data_explorer_default,azure_data_explorer,,https://<CLUSTER>.kusto.windows.net,,,,,f,t,gAAAAABowcahKpAicwyqbf7YyuOys09Q5nZvB0-34Hfp7Oj5Drxp_IzzxoVvGGPDrMYpaWtovHFPK_A8lNgoyZFPSeGaZOu50_KgPpinTOzsLANNAVHir7rp0TrshAbDkIxpyBopT9pp1Gg21MUBa3cZ4cNiMuOSrJUXHcIAD9TU4tNcKj9VVIOYpab3WffcIzB-2nmgzMnCwhJAvoDalw_uiLPdlwyimlHDNU0WFQ1IVGGSlxQCVzzADkgTOKtDLTRlnQv9N9dzJmEjAsaxs0bU8bvnrOj7SysoMcmMTa3AIRYe0M0TU8Y2GjYDj2uVL6xfQqm0Cfz816uqrPNi7fk4VO85eSGLFs8y8_lpEZxTksat0CPy4caf6g2Eb0Y9oxKO8iyiydbb
6,azure_data_lake_default,azure_data_lake,,,,,,,f,t,gAAAAABowcah4uC_oxO7hWfz-ODPgR0mg316040wmWa80ErAXCSsMiyTaJOnXWKe5LoW0Go7P4EY7cJNLJ8iU5rbx_6QDrbE8VVUuF7dd-8xf0ZS9S1ktNBAGsAESYvVNV-7dWs2AYnkib4szCpqhvu_RbMqaplhlQ==
7,azure_default,azure,,,,,,,f,f,
8,cassandra_default,cassandra,,cassandra,,,,9042,f,f,
9,databricks_default,databricks,,localhost,,,,,f,f,
10,dingding_default,http,,"",,,,,f,f,
11,drill_default,drill,,localhost,,,,8047,f,t,gAAAAABowcahb2OO6f3ttUBaBD_DORnrWCOUgvWyph5h4ZrHerK1ahdCNWdEM5M95A-QzUgci0qpMIjp5vJLAgdcgZV6uwi9lYgQixkYCX_QVJHqdkXI9ZnqYTwD2pl7k0dTbNWdMGIDJHG3kRGXmBSOqkedodcaug==
12,druid_broker_default,druid,,druid-broker,,,,8082,f,t,gAAAAABowcahCVVkYRj3QSp4SPIvA4z1gjGF2Dj58GGZ0IpTN58KjMytWfKoVfEspVbP8z_dgVBQi1Oiu-eEKSrOzZg1_THtlrzO4ewdYb0QjaxUjzcx5ik=
13,druid_ingest_default,druid,,druid-overlord,,,,8081,f,t,gAAAAABowcahpvvipGrXzjThMXvtSGauDVe-hEvZgPvmta7VJMqbte4Oo11gFg6fD17hzXTy6uE9NB0LISDJ_79MpXH0320P90Tq9Er-HOQoJCexsD4EM06ptcA5hl-xtYO3oyTXJ7NF
14,elasticsearch_default,elasticsearch,,localhost,http,,,9200,f,f,
