id,dttm,dag_id,task_id,map_index,event,execution_date,owner,extra
1,2025-09-10 21:42:42.249475+03,,,,cli_migratedb,,root,"{""host_name"": ""c6b9e1a1727d"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
2,2025-09-10 21:42:46.252186+03,,,,cli_users_create,,root,"{""host_name"": ""c6b9e1a1727d"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
3,2025-09-10 21:42:52.483186+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
4,2025-09-10 21:42:52.488238+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
5,2025-09-10 21:43:00.53036+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
6,2025-09-10 21:43:01.867498+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
7,2025-09-10 21:43:03.551394+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
8,2025-09-10 21:43:05.210599+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
9,2025-09-10 21:43:07.710542+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
10,2025-09-10 21:43:08.922595+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
11,2025-09-10 21:43:11.780097+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
12,2025-09-10 21:43:12.877768+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
13,2025-09-10 21:43:14.985458+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
14,2025-09-10 21:43:16.136505+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
15,2025-09-10 21:43:17.866454+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
16,2025-09-10 21:43:19.019879+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
17,2025-09-10 21:43:21.76819+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
18,2025-09-10 21:43:22.931836+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
19,2025-09-10 21:43:24.747072+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
20,2025-09-10 21:43:26.033041+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
21,2025-09-10 21:43:27.893469+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
22,2025-09-10 21:43:29.029774+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
23,2025-09-10 21:43:31.811312+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
24,2025-09-10 21:43:32.94215+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
25,2025-09-10 21:43:34.827969+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
26,2025-09-10 21:43:36.084783+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
27,2025-09-10 21:43:38.196141+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
28,2025-09-10 21:43:39.268909+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
29,2025-09-10 21:43:42.132726+03,,,,cli_migratedb,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
30,2025-09-10 21:43:43.179017+03,,,,cli_migratedb,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'upgrade']""}"
31,2025-09-10 21:43:45.170675+03,,,,cli_users_create,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
32,2025-09-10 21:43:46.368451+03,,,,cli_users_create,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'users', 'create', '--username', 'brian', '--firstname', 'Brian', '--lastname', 'Kimutai', '--role', 'Admin', '--email', 'briankimu97@gmail.com', '--password', '********']""}"
33,2025-09-10 21:43:48.850477+03,,,,cli_check,,root,"{""host_name"": ""5947296cd1d0"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
34,2025-09-10 21:43:49.980911+03,,,,cli_check,,root,"{""host_name"": ""2de03cc9b422"", ""full_command"": ""['/home/airflow/.local/bin/airflow', 'db', 'check']""}"
